arrival_1,departure_1,socDelta_1,arrival_2,departure_2,socDelta_2,arrival_3,departure_3,socDelta_3,arrival_4,departure_4,socDelta_4,arrival_5,departure_5,socDelta_5,arrival_6,departure_6,socDelta_6,arrival_7,departure_7,socDelta_7,arrival_8,departure_8,socDelta_8,arrival_9,departure_9,socDelta_9,arrival_10,departure_10,socDelta_10,arrival_11,departure_11,socDelta_11,arrival_12,departure_12,socDelta_12,arrival_13,departure_13,socDelta_13,arrival_14,departure_14,socDelta_14,arrival_15,departure_15,socDelta_15,arrival_16,departure_16,socDelta_16,percentInHub,nRoute,maxDelta
0,23026,-318.983174961384,71610,73895,-5.34747346826801,76759,86400,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.4537037037037,3,-318.983174961384
0,65796,-23.241258309865,68316,69250,-5.72483117230996,70174,86400,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.0138888888889,3,-23.241258309865
0,21265,-236.732947247951,32877,64942,-5.19142598286101,66019,86400,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.3138273862571,3,-236.732947247951
0,58210,-310.970111172045,82799,86400,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.5405092592593,2,-310.970111172045
0,17999,-36.10859200077,35948,37035,-51.088685606417,42785,44192,-51.195220419629,49943,51290,-49.023421329724,57454,58505,-51.217988943465,64492,65706,-51.173505180527,71806,72953,-50.7415466850814,79012,86400,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.3965579102094,8,-51.217988943465
0,17999,-51.201721112213,82799,86400,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.712962962963,2,-51.201721112213
0,17999,-153.843020022007,69646,71195,-9.21668783483,82799,86400,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.1805555555556,3,-153.843020022007
0,20183,-61.67510910797,24104,25989,-76.932958514072,33473,35057,-76.840715919226,42256,44262,-74.456865486589,51148,86400,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.3634259259259,5,-76.932958514072
0,17999,-49.534220569682,46068,47913,-74.555055516141,56738,58228,-74.977467945522,65791,67233,-77.048056946634,74749,79565,-21.335004416554,82799,86400,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.2083333333333,6,-77.048056946634
0,38711,-42.99926705462,39812,42048,-32.604230150931,42896,47452,-2.36939025730697,48855,86400,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.3055555555556,4,-42.99926705462
0,52397,-23.080446436311,55501,56850,-23.026076583179,59822,61349,-23.148660723624,64502,65861,-23.175585516888,68188,70710,-5.371929934766,71469,86400,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.7465277777778,6,-23.175585516888
