onPeakOut,facilitiesOut,maxFacilitiesOut,maxOnPeakOut,time
0,453.373108219296,0,0,2021-08-23 00:00:00
0,484.314797661079,0,0,2021-08-23 00:07:30
0,529.507651407512,0,0,2021-08-23 00:15:00
0,527.744590324049,0,0,2021-08-23 00:22:30
0,503.051778972423,0,0,2021-08-23 00:30:00
0,470.440155351777,0,0,2021-08-23 00:37:30
0,451.238414474202,0,0,2021-08-23 00:45:00
0,448.936804582433,0,0,2021-08-23 00:52:30
0,456.032653990995,0,0,2021-08-23 01:00:00
0,461.174666152189,0,0,2021-08-23 01:07:30
0,453.227599451144,0,0,2021-08-23 01:15:00
0,425.355085416991,0,0,2021-08-23 01:22:30
0,386.438580248467,0,0,2021-08-23 01:30:00
0,351.004794716957,0,0,2021-08-23 01:37:29
0,334.433419632773,0,0,2021-08-23 01:45:00
0,331.338682133892,0,0,2021-08-23 01:52:30
0,329.95283984601,0,0,2021-08-23 02:00:00
0,323.495015348644,0,0,2021-08-23 02:07:30
0,314.083744764235,0,0,2021-08-23 02:15:00
0,303.232006824517,0,0,2021-08-23 02:22:30
0,291.664481741995,0,0,2021-08-23 02:30:00
0,277.196564497781,0,0,2021-08-23 02:37:30
0,259.78322739157,0,0,2021-08-23 02:45:00
0,237.384132966003,0,0,2021-08-23 02:52:30
0,215.614446869992,0,0,2021-08-23 03:00:00
0,198.859848474709,0,0,2021-08-23 03:07:30
0,189.877548170772,0,0,2021-08-23 03:14:59
0,183.303740239066,0,0,2021-08-23 03:22:30
0,177.19939789514,0,0,2021-08-23 03:30:00
0,172.427014544925,0,0,2021-08-23 03:37:30
0,167.938485628358,0,0,2021-08-23 03:45:00
0,158.280086525611,0,0,2021-08-23 03:52:30
0,145.330364305013,0,0,2021-08-23 04:00:00
0,135.786891415753,0,0,2021-08-23 04:07:30
0,131.906848457312,0,0,2021-08-23 04:15:00
0,125.193427625695,0,0,2021-08-23 04:22:30
0,113.329337072601,0,0,2021-08-23 04:30:00
0,104.072144594827,0,0,2021-08-23 04:37:30
0,103.729352531276,0,0,2021-08-23 04:45:00
0,104.078543463467,0,0,2021-08-23 04:52:30
0,95.9723513560971,0,0,2021-08-23 05:00:00
0,82.7213620431278,0,0,2021-08-23 05:07:30
0,74.484372545141,0,0,2021-08-23 05:15:00
0,86.1431663535122,0,0,2021-08-23 05:22:30
0,105.533640292907,0,0,2021-08-23 05:30:00
0,106.81705409771,0,0,2021-08-23 05:37:30
0,97.7739827006145,0,0,2021-08-23 05:45:00
0,100.846263254912,0,0,2021-08-23 05:52:30
0,120.996733151043,0,0,2021-08-23 06:00:00
0,181.970407689861,0,0,2021-08-23 06:07:29
0,239.810923021916,0,0,2021-08-23 06:15:00
0,253.267168856074,0,0,2021-08-23 06:22:30
0,254.135561037289,0,0,2021-08-23 06:29:59
0,241.523437317025,0,0,2021-08-23 06:37:30
0,212.262775484578,0,0,2021-08-23 06:45:00
0,176.035786291348,0,0,2021-08-23 06:52:30
0,154.973866858896,0,0,2021-08-23 07:00:00
0,141.502384615721,0,0,2021-08-23 07:07:30
0,123.863991011133,0,0,2021-08-23 07:15:00
0,106.972023327178,0,0,2021-08-23 07:22:30
0,102.334381045143,0,0,2021-08-23 07:30:00
0,107.588823401869,0,0,2021-08-23 07:37:30
0,120.797036589241,0,0,2021-08-23 07:45:00
0,129.608193150488,0,0,2021-08-23 07:52:30
0,120.161642201421,0,0,2021-08-23 08:00:00
0,141.28435272011,0,0,2021-08-23 08:07:30
0,170.96149203176,0,0,2021-08-23 08:15:00
0,172.148321687407,0,0,2021-08-23 08:22:30
0,171.654089745438,0,0,2021-08-23 08:30:00
0,179.060475847138,0,0,2021-08-23 08:37:30
0,204.999820440835,0,0,2021-08-23 08:45:00
0,259.928701528646,0,0,2021-08-23 08:52:30
0,280.329560094051,0,0,2021-08-23 09:00:00
0,241.49583239086,0,0,2021-08-23 09:07:30
0,195.488870743812,0,0,2021-08-23 09:15:00
0,186.233277925958,0,0,2021-08-23 09:22:30
0,192.202361733029,0,0,2021-08-23 09:30:00
0,181.598226360836,0,0,2021-08-23 09:37:30
0,175.874169079712,0,0,2021-08-23 09:45:00
0,184.670368129568,0,0,2021-08-23 09:52:30
0,229.862547718303,0,0,2021-08-23 10:00:00
0,284.574745879367,0,0,2021-08-23 10:07:30
0,286.076935782217,0,0,2021-08-23 10:15:00
0,244.2150316414,0,0,2021-08-23 10:22:30
0,215.635978398871,0,0,2021-08-23 10:30:00
0,215.91709829534,0,0,2021-08-23 10:37:30
0,219.592381633736,0,0,2021-08-23 10:45:00
0,217.417180566838,0,0,2021-08-23 10:52:30
