onPeakOut,facilitiesOut,maxFacilitiesOut,maxOnPeakOut,time
0,415.090127781581,0,0,2021-08-23 00:00:00
0,632.772904966045,0,0,2021-08-23 00:15:00
0,618.323673009445,0,0,2021-08-23 00:30:00
0,570.186142417499,0,0,2021-08-23 00:45:00
0,577.321149419024,0,0,2021-08-23 01:00:00
0,575.550956631489,0,0,2021-08-23 01:15:00
0,508.490893586167,0,0,2021-08-23 01:30:00
0,454.90878353262,0,0,2021-08-23 01:45:00
0,447.545348712506,0,0,2021-08-23 02:00:00
0,427.487493001794,0,0,2021-08-23 02:15:00
0,399.573563754773,0,0,2021-08-23 02:30:00
0,360.891737583559,0,0,2021-08-23 02:45:00
0,308.616478740301,0,0,2021-08-23 03:00:00
0,273.521157430112,0,0,2021-08-23 03:14:59
0,250.88361247546,0,0,2021-08-23 03:30:00
0,231.486101352552,0,0,2021-08-23 03:45:00
0,198.576316302069,0,0,2021-08-23 04:00:00
0,174.916512523781,0,0,2021-08-23 04:15:00
0,146.473160019942,0,0,2021-08-23 04:30:00
0,127.282117798373,0,0,2021-08-23 04:45:00
0,109.957670059442,0,0,2021-08-23 05:00:00
0,83.1158201012935,0,0,2021-08-23 05:15:00
0,134.688187972479,0,0,2021-08-23 05:30:00
0,119.244541851989,0,0,2021-08-23 05:45:00
0,121.05133709092,0,0,2021-08-23 06:00:00
0,303.483888243363,0,0,2021-08-23 06:15:00
0,321.760279297262,0,0,2021-08-23 06:29:59
0,256.714363548054,0,0,2021-08-23 06:45:00
0,183.127698396653,0,0,2021-08-23 07:00:00
0,136.963155926044,0,0,2021-08-23 07:15:00
0,102.650979452513,0,0,2021-08-23 07:30:00
0,144.598941026961,0,0,2021-08-23 07:45:00
0,134.715578583685,0,0,2021-08-23 08:00:00
0,165.841127668484,0,0,2021-08-23 08:15:00
0,181.997257499165,0,0,2021-08-23 08:30:00
0,278.148137296672,0,0,2021-08-23 08:45:00
0,399.079135635879,0,0,2021-08-23 09:00:00
0,250.941150028052,0,0,2021-08-23 09:15:00
0,203.776330721833,0,0,2021-08-23 09:30:00
0,191.708861965875,0,0,2021-08-23 09:45:00
0,331.012987782232,0,0,2021-08-23 10:00:00
0,432.129973454377,0,0,2021-08-23 10:15:00
0,288.765239777813,0,0,2021-08-23 10:30:00
0,220.958016285756,0,0,2021-08-23 10:45:00
0,183.696509161948,0,0,2021-08-23 11:00:00
0,287.541733315987,0,0,2021-08-23 11:15:00
0,298.689074171563,0,0,2021-08-23 11:30:00
0,219.259538514122,0,0,2021-08-23 11:45:00
0,209.971959047968,0,0,2021-08-23 12:00:00
0,234.75049149592,0,0,2021-08-23 12:14:59
0,311.155651732246,0,0,2021-08-23 12:30:00
0,408.840125221422,0,0,2021-08-23 12:45:00
0,300.38669367752,0,0,2021-08-23 12:59:59
0,157.424876042998,0,0,2021-08-23 13:15:00
0,179.945963957511,0,0,2021-08-23 13:30:00
0,263.268903509531,0,0,2021-08-23 13:45:00
0,344.237711725391,0,0,2021-08-23 14:00:00
0,260.04876412895,0,0,2021-08-23 14:15:00
0,235.225589791465,0,0,2021-08-23 14:30:00
0,230.945271151787,0,0,2021-08-23 14:45:00
278.636091030028,278.636091030028,0,0,2021-08-23 15:00:00
406.100614965463,406.100614965463,0,0,2021-08-23 15:15:00
272.982341421171,272.982341421171,0,0,2021-08-23 15:30:00
201.957530707014,201.957530707014,0,0,2021-08-23 15:45:00
204.257991768604,204.257991768604,0,0,2021-08-23 16:00:00
173.563196573426,173.563196573426,0,0,2021-08-23 16:15:00
273.494640356938,273.494640356938,0,0,2021-08-23 16:30:00
182.031160719016,182.031160719016,0,0,2021-08-23 16:45:00
70.4182251295461,70.4182251295461,0,0,2021-08-23 17:00:00
88.2095254997715,88.2095254997715,0,0,2021-08-23 17:15:00
77.8613538442119,77.8613538442119,0,0,2021-08-23 17:30:00
171.644416640971,171.644416640971,0,0,2021-08-23 17:45:00
135.582315516887,135.582315516887,0,0,2021-08-23 18:00:00
57.2849812664888,57.2849812664888,0,0,2021-08-23 18:15:00
50.5549934792845,50.5549934792845,0,0,2021-08-23 18:30:00
94.9590132260207,94.9590132260207,0,0,2021-08-23 18:45:00
290.674705141241,290.674705141241,0,0,2021-08-23 19:00:00
276.150837555212,276.150837555212,0,0,2021-08-23 19:15:00
88.6832367756521,88.6832367756521,0,0,2021-08-23 19:30:00
211.116438900259,211.116438900259,0,0,2021-08-23 19:45:00
486.597571087331,486.597571087331,0,0,2021-08-23 20:00:00
570.854302318652,570.854302318652,0,0,2021-08-23 20:15:00
535.42728925065,535.42728925065,0,0,2021-08-23 20:30:00
431.706393319903,431.706393319903,710.932453917621,0,2021-08-23 20:45:00
710.932453917621,710.932453917621,0,0,2021-08-23 21:00:00
367.74989765288,367.74989765288,0,710.932453917621,2021-08-23 21:15:00
198.675902514224,198.675902514224,0,0,2021-08-23 21:30:00
184.431608113771,184.431608113771,0,0,2021-08-23 21:45:00
200.593781619581,200.593781619581,0,0,2021-08-23 22:00:00
0,241.017419968942,0,0,2021-08-23 22:15:00
0,203.631685984506,0,0,2021-08-23 22:30:00
0,200.157994771223,0,0,2021-08-23 22:45:00
0,478.056610404059,0,0,2021-08-23 23:00:00
0,480.636504245738,0,0,2021-08-23 23:15:00
0,459.206231538022,0,0,2021-08-23 23:30:00
0,431.663722138905,0,0,2021-08-23 23:45:00
