onPeakOut,facilitiesOut,maxFacilitiesOut,maxOnPeakOut,time
0,1217.3879568972,0,0,2021-08-23 00:00:00
0,1165.74921462865,0,0,2021-08-23 00:07:30
0,1127.23797049635,0,0,2021-08-23 00:15:00
0,1036.91663410764,0,0,2021-08-23 00:22:30
0,929.069477880804,0,0,2021-08-23 00:30:00
0,814.213850658609,0,0,2021-08-23 00:37:30
0,722.125163061753,0,0,2021-08-23 00:45:00
0,649.696876991065,0,0,2021-08-23 00:52:30
0,595.524247729712,0,0,2021-08-23 01:00:00
0,542.686117171082,0,0,2021-08-23 01:07:30
0,485.088995240635,0,0,2021-08-23 01:15:00
0,411.382872082814,0,0,2021-08-23 01:22:30
0,334.434735124774,0,0,2021-08-23 01:30:00
0,265.313874064932,0,0,2021-08-23 01:37:29
0,222.32929102713,0,0,2021-08-23 01:45:00
0,197.694036821764,0,0,2021-08-23 01:52:30
0,181.424589304302,0,0,2021-08-23 02:00:00
0,164.857918943946,0,0,2021-08-23 02:07:30
0,150.349338024537,0,0,2021-08-23 02:15:00
0,138.146959891349,0,0,2021-08-23 02:22:30
0,128.390365496751,0,0,2021-08-23 02:30:00
0,118.753825940349,0,0,2021-08-23 02:37:30
0,108.178609629293,0,0,2021-08-23 02:45:00
0,93.9862629375484,0,0,2021-08-23 02:52:30
0,80.0770623304587,0,0,2021-08-23 03:00:00
0,71.217827873525,0,0,2021-08-23 03:07:30
0,69.5153027612998,0,0,2021-08-23 03:14:59
0,70.4061554967426,0,0,2021-08-23 03:22:30
0,71.3881011362312,0,0,2021-08-23 03:30:00
0,73.974624097618,0,0,2021-08-23 03:37:30
0,76.4777149336073,0,0,2021-08-23 03:45:00
0,74.0792514924592,0,0,2021-08-23 03:52:30
0,68.0318364004445,0,0,2021-08-23 04:00:00
0,65.7123849929659,0,0,2021-08-23 04:07:30
0,68.8127207612933,0,0,2021-08-23 04:15:00
0,69.4911130616314,0,0,2021-08-23 04:22:30
0,64.7875252168006,0,0,2021-08-23 04:30:00
0,63.1104798156912,0,0,2021-08-23 04:37:30
0,70.1083359573155,0,0,2021-08-23 04:45:00
0,78.2259885906229,0,0,2021-08-23 04:52:30
0,77.6491365045942,0,0,2021-08-23 05:00:00
0,71.420186388751,0,0,2021-08-23 05:07:30
0,68.0233995825345,0,0,2021-08-23 05:15:00
0,70.3386279928995,0,0,2021-08-23 05:22:30
0,72.9996254024465,0,0,2021-08-23 05:30:00
0,72.9762995483715,0,0,2021-08-23 05:37:30
0,75.9108275175925,0,0,2021-08-23 05:45:00
0,85.5000093825357,0,0,2021-08-23 05:52:30
0,96.6430392968713,0,0,2021-08-23 06:00:00
0,151.905756228812,0,0,2021-08-23 06:07:29
0,217.851035610301,0,0,2021-08-23 06:15:00
0,230.744627734299,0,0,2021-08-23 06:22:30
0,218.661858377974,0,0,2021-08-23 06:29:59
0,203.798419119502,0,0,2021-08-23 06:37:30
0,186.563414807159,0,0,2021-08-23 06:45:00
0,163.879474353121,0,0,2021-08-23 06:52:30
0,138.526670193654,0,0,2021-08-23 07:00:00
0,117.898125265668,0,0,2021-08-23 07:07:30
0,108.746526597205,0,0,2021-08-23 07:15:00
0,101.750951090482,0,0,2021-08-23 07:22:30
0,95.2035042765902,0,0,2021-08-23 07:30:00
0,92.9381748551496,0,0,2021-08-23 07:37:30
0,99.8565663346572,0,0,2021-08-23 07:45:00
0,106.334969678591,0,0,2021-08-23 07:52:30
0,102.895898044489,0,0,2021-08-23 08:00:00
0,109.517796867058,0,0,2021-08-23 08:07:30
0,125.305596911124,0,0,2021-08-23 08:15:00
0,131.727188369244,0,0,2021-08-23 08:22:30
0,128.793121999397,0,0,2021-08-23 08:30:00
0,130.251876642848,0,0,2021-08-23 08:37:30
0,149.8966926427,0,0,2021-08-23 08:45:00
0,189.979297876543,0,0,2021-08-23 08:52:30
0,209.221187129616,0,0,2021-08-23 09:00:00
0,191.9337837071,0,0,2021-08-23 09:07:30
0,166.581499751817,0,0,2021-08-23 09:15:00
0,151.3776342274,0,0,2021-08-23 09:22:30
0,146.769233987016,0,0,2021-08-23 09:30:00
0,142.760422476858,0,0,2021-08-23 09:37:30
0,140.662662604188,0,0,2021-08-23 09:45:00
0,141.576525869589,0,0,2021-08-23 09:52:30
0,161.038572157329,0,0,2021-08-23 10:00:00
