onPeakOut,facilitiesOut,maxFacilitiesOut,maxOnPeakOut,time
0,395.851656837249,0,0,2021-08-23 00:00:00
0,295.177291767523,0,0,2021-08-23 00:15:00
0,345.384893426231,0,0,2021-08-23 00:30:00
0,348.920597803807,0,0,2021-08-23 00:45:00
0,382.291968766476,0,0,2021-08-23 01:00:00
0,396.182699408368,0,0,2021-08-23 01:15:00
0,384.917835430218,0,0,2021-08-23 01:30:00
0,378.975493576049,0,0,2021-08-23 01:45:00
0,395.285145778855,0,0,2021-08-23 02:00:00
0,396.094260920829,0,0,2021-08-23 02:15:00
0,393.666546872473,0,0,2021-08-23 02:30:00
0,389.82050987064,0,0,2021-08-23 02:45:00
0,390.091325927809,0,0,2021-08-23 03:00:00
0,394.228932381866,0,0,2021-08-23 03:14:59
0,396.094626655819,0,0,2021-08-23 03:30:00
0,396.182699407928,0,0,2021-08-23 03:45:00
0,390.272772738316,0,0,2021-08-23 04:00:00
0,379.377098753091,0,0,2021-08-23 04:15:00
0,341.608492953217,0,0,2021-08-23 04:30:00
0,291.120968684467,0,0,2021-08-23 04:45:00
0,220.719056001341,0,0,2021-08-23 05:00:00
0,143.949592686743,0,0,2021-08-23 05:15:00
0,203.280861569683,0,0,2021-08-23 05:30:00
0,161.44480577145,0,0,2021-08-23 05:45:00
0,242.191580841981,0,0,2021-08-23 06:00:00
0,383.998907180784,0,0,2021-08-23 06:15:00
0,386.151908493081,0,0,2021-08-23 06:29:59
0,373.864132843614,0,0,2021-08-23 06:45:00
0,360.075358079624,0,0,2021-08-23 07:00:00
0,288.876180552648,0,0,2021-08-23 07:15:00
0,331.491253359422,0,0,2021-08-23 07:30:00
0,393.885912993489,0,0,2021-08-23 07:45:00
0,395.248233472853,0,0,2021-08-23 08:00:00
0,396.182699414458,0,0,2021-08-23 08:15:00
0,395.912353163275,0,0,2021-08-23 08:30:00
0,396.032613577745,0,0,2021-08-23 08:45:00
0,396.051141669963,0,0,2021-08-23 09:00:00
0,396.031116525062,0,0,2021-08-23 09:15:00
0,396.157979546341,0,0,2021-08-23 09:30:00
0,395.361066329222,0,0,2021-08-23 09:45:00
0,395.941472892803,0,0,2021-08-23 10:00:00
0,396.135817516338,0,0,2021-08-23 10:15:00
0,394.53405536063,0,0,2021-08-23 10:30:00
0,395.607501795736,0,0,2021-08-23 10:45:00
0,394.668120592197,0,0,2021-08-23 11:00:00
0,393.034811672545,0,0,2021-08-23 11:15:00
0,395.668685880853,0,0,2021-08-23 11:30:00
0,377.087390592338,0,0,2021-08-23 11:45:00
0,395.477708368211,0,0,2021-08-23 12:00:00
0,396.182699421959,0,0,2021-08-23 12:14:59
0,396.182699433236,396.182699433236,0,2021-08-23 12:30:00
0,396.182699428129,0,0,2021-08-23 12:45:00
0,396.182699418491,0,0,2021-08-23 12:59:59
0,396.182699428502,0,0,2021-08-23 13:15:00
0,396.182699418943,0,0,2021-08-23 13:30:00
0,396.182699412006,0,0,2021-08-23 13:45:00
0,396.182699397836,0,0,2021-08-23 14:00:00
0,396.182699387581,0,0,2021-08-23 14:15:00
0,394.834568337492,0,0,2021-08-23 14:30:00
0,395.180696670289,0,0,2021-08-23 14:45:00
164.929656087218,164.929656087218,0,0,2021-08-23 15:00:00
164.50911814526,164.50911814526,0,0,2021-08-23 15:15:00
166.58656186543,166.58656186543,0,166.58656186543,2021-08-23 15:30:00
166.50365343246,166.50365343246,0,0,2021-08-23 15:45:00
150.618753907107,150.618753907107,0,0,2021-08-23 16:00:00
114.37780221643,114.37780221643,0,0,2021-08-23 16:15:00
84.2405196281503,84.2405196281503,0,0,2021-08-23 16:30:00
67.7241372847516,67.7241372847516,0,0,2021-08-23 16:45:00
61.3734023993707,61.3734023993707,0,0,2021-08-23 17:00:00
47.8864124883217,47.8864124883217,0,0,2021-08-23 17:15:00
41.1222838839415,41.1222838839415,0,0,2021-08-23 17:30:00
31.2047791774307,31.2047791774307,0,0,2021-08-23 17:45:00
30.086479072423,30.086479072423,0,0,2021-08-23 18:00:00
26.0936150200734,26.0936150200734,0,0,2021-08-23 18:15:00
24.572185044089,24.572185044089,0,0,2021-08-23 18:30:00
28.7823247599686,28.7823247599686,0,0,2021-08-23 18:45:00
29.405394131505,29.405394131505,0,0,2021-08-23 19:00:00
30.5595200685955,30.5595200685955,0,0,2021-08-23 19:15:00
29.2979336220034,29.2979336220034,0,0,2021-08-23 19:30:00
34.2936753653395,34.2936753653395,0,0,2021-08-23 19:45:00
39.4398206826527,39.4398206826527,0,0,2021-08-23 20:00:00
45.8309367561758,45.8309367561758,0,0,2021-08-23 20:15:00
45.5020197037219,45.5020197037219,0,0,2021-08-23 20:30:00
41.2188963217177,41.2188963217177,0,0,2021-08-23 20:45:00
42.5427648289464,42.5427648289464,0,0,2021-08-23 21:00:00
47.7294363278847,47.7294363278847,0,0,2021-08-23 21:15:00
44.0993961331417,44.0993961331417,0,0,2021-08-23 21:30:00
34.8722217253093,34.8722217253093,0,0,2021-08-23 21:45:00
94.9520187815383,94.9520187815383,0,0,2021-08-23 22:00:00
0,395.985741736842,0,0,2021-08-23 22:15:00
0,373.480379178495,0,0,2021-08-23 22:30:00
0,394.726282542567,0,0,2021-08-23 22:45:00
0,393.856811016657,0,0,2021-08-23 23:00:00
0,396.182699411299,0,0,2021-08-23 23:15:00
0,396.182699381491,0,0,2021-08-23 23:30:00
0,396.182699410045,0,0,2021-08-23 23:45:00
